earliest_appearance,latest_appearance,latest_area,latest_zone,pmin_median,pmax_median,pmax_99_perc,pmax_max,eia_gen_id,epa_generator_id,fitting_param_x,fitting_param_intercept,energy_source_code,prime_mover_code,operating_year,retirement_month,retirement_year,planned_operation_month,planned_operation_year,category
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NOTH,101.83333333333331,176.5666666666667,193.03333333333333,567.0,CTG3,3,6.324024866622668,160.3119325970092,NG,CT,24.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NOTH,101.83333333333331,176.5666666666667,268.0,536.0,STG2,1,6.248601836067722,173.07295085376006,NG,CA,24.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,SCEN,91.66666666666669,176.16666666666666,199.7,205.0,0001,CTG-1A,6.3269006047913,167.8106034587992,NG,CT,22.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,SCEN,91.66666666666669,176.16666666666666,199.7,205.0,0003,CTG-1A,6.3269006047913,167.8106034587992,NG,CA,22.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,SCEN,91.66666666666669,176.16666666666666,199.7,205.0,0002,CTG-1B,6.159958144538963,189.57243662818397,NG,CT,22.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,FWES,98.0,175.0,192.16666666666663,263.5,CTG1,GT1,6.181663794336289,126.57501650727876,NG,CT,23.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,FWES,98.0,175.0,192.23333333333332,263.5,STG1,GT1,6.181663794336289,126.57501650727876,NG,CA,23.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,FWES,98.0,175.0,192.66666666666663,570.0,CTG2,GT2,6.26642006254248,123.66146618619226,NG,CT,23.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240303_H09,ERC,NCEN,103.33333333333331,174.0,195.0,202.33333333333331,GT-1,GT-1,6.102116871436889,153.08705544863406,NG,CT,24.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240303_H09,ERC,NCEN,103.33333333333331,174.0,195.13333333333333,283.0,GT-2,GT-2,6.110609760015894,164.39827229733635,NG,CT,24.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240330_H09,ERC,COAS,87.66666666666667,173.83333333333334,217.5,317.0,CTG2,CTG2,6.067659202366547,707.1730471667449,NG,CT,21.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240303_H09,ERC,NCEN,103.33333333333331,173.66666666666666,195.0,202.33333333333331,ST-5,GT-1,6.102116871436889,153.08705544863406,NG,CA,14.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,SOUT,137.33333333333334,173.5,343.0,366.0,CTG1,CTG-1,5.875632104613934,227.7399202055249,NG,CT,22.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,WEST,112.3,173.5,276.0,542.8,CT-1,CT-1,7.38005717762726,459.432713184185,NG,CT,10.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,WEST,112.3,173.5,267.0,534.0,CT-2,CT-2,7.3842580933327815,449.8154589759641,NG,CT,10.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,COAS,87.33333333333333,173.33333333333334,217.5,317.0,CTG1,CTG1,6.004941024822534,833.1066409151077,NG,CT,21.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,WEST,112.3,173.33333333333334,192.1,276.0,STG,CT-1,7.38005717762726,459.432713184185,NG,CA,10.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,COAS,87.33333333333333,173.33333333333334,217.33333333333331,317.0,CTG4,CTG4,5.872771218998026,767.8227421741535,NG,CT,20.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,COAS,87.16666666666667,173.33333333333334,217.16666666666663,246.8,STG1,CTG1,6.004941024822534,833.1066409151077,NG,CA,20.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,COAS,87.33333333333333,173.16666666666666,217.5,317.0,CTG3,CTG3,5.967252159842375,855.7591685530393,NG,CT,20.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,COAS,87.16666666666667,173.16666666666666,217.33333333333331,246.8,CTG6,CTG5,4.519988234859281,810.4448591540489,NG,CT,10.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,SCEN,105.0,171.75,212.5,840.0,CTG2,CTG-2,5.142359795833663,332.71445030321973,NG,CT,22.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,SCEN,105.0,171.25,212.5,260.0,STG1,CTG-1,5.060385765052199,349.9241141209339,NG,CA,22.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,FWES,104.0,171.0666666666667,193.33333333333331,262.5,CTG4,GT4,6.278465128577737,112.89437007723436,NG,CT,23.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,FWES,104.0,171.03333333333333,193.4,263.5,CTG3,GT3,6.294615699585794,117.21835649010374,NG,CT,23.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,SCEN,105.0,171.0,212.5,255.0,CTG3,CTG-3,5.12428951859132,356.82163167211905,NG,CT,22.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,FWES,104.0,171.0,193.0,263.5,STG2,GT1,6.181663794336289,126.57501650727876,NG,CA,23.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,SCEN,105.0,171.0,212.5,260.0,CTG1,CTG-1,5.060385765052199,349.9241141209339,NG,CT,22.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,SCEN,109.0,168.0,183.33333333333331,186.33333333333331,CTA,CTA,6.709450894314616,141.79280090236074,NG,CT,23.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,SCEN,108.66666666666669,167.66666666666666,183.33333333333331,186.33333333333331,ST,ST,6.61982802250638,150.916184436149,NG,CA,23.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,SCEN,108.66666666666669,167.66666666666666,183.33333333333331,186.33333333333331,CTB,CTB,6.709450894314616,141.79280090236074,NG,CT,23.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,EAST,55.0,167.0,170.0,172.0,ST1,1,9.859398242656452,144.1677025494778,NG,ST,66.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NCEN,73.0,165.5,189.0,330.0,GT1,GT-1,6.26961766665912,346.0194024824599,NG,CT,22.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NCEN,72.55,165.5,220.0,350.0,ST1,GT-1,6.26961766665912,346.0194024824599,NG,CA,22.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240330_H08,ERC,SOUT,107.0,164.0,331.0,374.0,CTG2,CTG-2,5.771544279273506,263.31064639467104,NG,CT,22.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,COAS,112.33333333333331,163.66666666666666,180.0,185.0,CTG3,CG-3,5.634123025951358,189.16142558799055,NG,CT,24.0,,,,,gas
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,COAS,112.33333333333331,163.66666666666666,180.0,185.0,CTG2,CG-2,6.361824459297495,140.279087360916,NG,CT,24.0,,,,,gas
