,Unnamed: 0,GENERATOR,UNIT,PLANT_ID,PNODE,ISO,CLUSTER,RETIRED_DATE,FUEL,new_gas_multiplier,new_gas_intercept,F1-score,R-squared,nat_gas_coeffs_exist
524,382,REI2     CTG_H,CTG8,55237,AMIL.REI2CTGA,miso,REI2,,NG,16.3708276177412,9.152263374485598,0.5831865029155062,,0
525,383,REID     REIDCT,GEN2,1383,BREC.GREEN1,miso,REID,,NG,19.652034750800183,5.567443987197074,0.583401118660088,,0
526,388,REOTOWN  CGT1,CTG1,58427,CONS.LANS,miso,"CANAL_5,DEP,ERICKSON,ECKERT,REOTOWN",,NG,5.433470507544582,1.3388203017832636,0.920065213671995,,0
527,389,REOTOWN  CGT2,CTG2,58427,CONS.LANS,miso,"CANAL_5,DEP,ERICKSON,ECKERT,REOTOWN",,NG,5.989483310470964,-0.0658436213991769,0.9159779533277116,,0
528,390,REOTOWN  STG1,ST,58427,CONS.LANS,miso,"CANAL_5,DEP,ERICKSON,ECKERT,REOTOWN",,NG,6.183356195701874,-0.5560128029263831,0.902071229221002,,0
529,393,RIVRSID  RIVRSI_7_UN1,ST7,1927,NSP.RIVRSD71,miso,RIVRSID,,NG,9.007315957933242,-5.190672153635117,0.7902417166975377,,1
530,394,RIVRSID  RIVRSI_7_UN2,ST7,1927,NSP.RIVRSD71,miso,RIVRSID,,NG,9.296296296296296,-5.35893918609968,0.7412698189324575,,1
531,398,ROQUETE  ROQUET_1_UNIT,GT,57953,ALTW.ROQUETTE1,miso,ROQUETE,,NG,5.645633287608597,-2.0813900320073166,0.5380142522558752,,0
532,410,SIG_SAB6 CT1,COGN1,58063,SIGE.SIGW,miso,SIG_SAB6,,NG,7.664837677183356,-4.810242341106538,0.7531253562872102,,0
533,415,STCHAR   CT1,CGN1,50152,EES.STCHAR_CT1,miso,STCHAR,,NG,7.661179698216735,-6.035665294924554,0.8559989335593081,,0
534,416,STCHAR   CT2,CGN2,50152,EES.STCHAR_CT1,miso,STCHAR,,NG,7.661179698216735,-6.035665294924554,0.865084881936707,,0
535,417,STCHAR   ST,"CSTG, STG",50152,EES.STCHAR_CT1,miso,STCHAR,,NG,7.661179698216735,-6.035665294924554,0.878393727846352,,0
536,430,TOWNELIN TOWNE_CT1,CTG1,55641,ALTE.CC.RIVS1,miso,TOWNELIN,,NG,4.899405578417923,-2.897119341563786,0.8907569244257343,,1
537,431,TOWNELIN TOWNE_CT2,CTG2,55641,ALTE.CC.RIVS1,miso,TOWNELIN,,NG,6.311385459533607,-5.563786008230452,0.9011620280232868,,1
538,432,TOWNELIN TOWNE_ST1_1,STG1,55641,ALTE.CC.RIVS1,miso,TOWNELIN,,NG,7.342935528120713,-8.66941015089163,0.893144781722196,,1
539,433,TOWNELIN TOWNE_ST1_2,STG2,55641,ALTE.CC.RIVS1,miso,TOWNELIN,,NG,6.311385459533607,-5.563786008230452,0.8980028788922574,,1
540,434,TRIGEN   CTG_1,"CT-1, CT-2, IC-1, ST-3, ST-4, ST-5",56309,AMMO.TRIGCTG1,miso,TRIGEN,,NG,7.664837677183356,-9.313214449016918,0.9575691501741114,,0
541,435,UNIONP   G1A,CTG1,55380,EAI.CC.UPS1,miso,UNIONP,,NG,7.48559670781893,-8.175582990397805,0.6342471971108241,,1
542,436,UNIONP   G1B,CTG2,55380,EAI.CC.UPS1,miso,UNIONP,,NG,7.48559670781893,-8.175582990397805,0.6233225130663322,,1
543,437,UNIONP   G1C,STG1,55380,EAI.CC.UPS1,miso,UNIONP,,NG,7.48559670781893,-8.175582990397805,0.6387996828235867,,1
544,438,UNIONP   G2A,CTG3,55380,EAI.CC.UPS1,miso,UNIONP,,NG,7.1234567901234565,-6.803840877914952,0.8143873591695828,,1
545,439,UNIONP   G2B,CTG4,55380,EAI.CC.UPS1,miso,UNIONP,,NG,7.1234567901234565,-6.803840877914952,0.8074039691512639,,1
546,440,UNIONP   G2C,STG2,55380,EAI.CC.UPS1,miso,UNIONP,,NG,7.1234567901234565,-6.803840877914952,0.8138362551818165,,1
547,441,UNIONP   G3A,CTG5,55380,EAI.CC.UPS1,miso,UNIONP,,NG,7.225880201188842,-3.943301326017376,0.72417776925977,,1
548,442,UNIONP   G3B,CTG6,55380,EAI.CC.UPS1,miso,UNIONP,,NG,7.225880201188842,-3.943301326017376,0.7213789419571703,,1
549,443,UNIONP   G3C,STG3,55380,EAI.CC.UPS1,miso,UNIONP,,NG,7.225880201188842,-3.943301326017376,0.7228676318184045,,1
550,444,UNIONP   G4A,CTG7,55380,EAI.CC.UPS1,miso,UNIONP,,NG,5.58710562414266,-3.2921810699588483,0.6883091050283844,,1
551,445,UNIONP   G4B,CTG8,55380,EAI.CC.UPS1,miso,UNIONP,,NG,5.58710562414266,-3.2921810699588483,0.688193870020678,,1
552,446,UNIONP   G4C,STG4,55380,EAI.CC.UPS1,miso,UNIONP,,NG,5.58710562414266,-3.2921810699588483,0.6875491439880254,,1
553,447,UNIVERS1 UNIV138UNIV130,"CTG1, STG1",55011,WEC.UNIVEV130,miso,UNIVERS1,,NG,3.5679012345679,10.139917695473253,0.686666611082503,,1
554,448,VALLEY01 VALLY_VA1,1,4042,WEC.VALLYGA1,miso,VALLEY01,,NG,9.877914951989029,-10.91906721536351,0.8184949727044665,,1
555,449,VALLEY01 VALLY_VA2,2,4042,WEC.VALLYGA1,miso,VALLEY01,,NG,0.8939186099679919,8.556012802926382,0.7048426794235094,,1
556,452,VENICE   CTG_4,GT4,913,AMMO.VENCTG2,miso,VENICE,,NG,2.379058070416096,11.976223136716962,0.377618249023117,,0
557,455,VINTONMU VINTON_MUNI8_1,8,1194,ALTW.AZ,miso,VINTONMU,,NG,1.0841335162322796,-11.979881115683584,0.9999436946648642,,0
558,457,WABASHR  CT1,1A,57842,CIN.WABASL.ARR,miso,WABASHR,,NG,18.141289437585733,-11.390946502057613,0.6745841614521779,,1
559,458,WASHEC   CT1,CTG1,55486,EES.WASHEC_CT1,miso,WASHEC,,NG,4.921353452217649,11.38728852309099,0.4520113911910284,,1
560,459,WASHEC   CT2,CTG2,55486,EES.WASHEC_CT1,miso,WASHEC,,NG,4.358024691358025,11.288523090992229,0.4074301742829158,,1
561,460,WCCF     UNIT,"1, CT2, STG1",7991,MGE.WCCF,miso,WCCF,,NG,2.561957018747142,9.075445816186557,0.8584094202857881,,0
562,462,WESTON   W11,W11,66059,WPS.WESTON11,miso,WESTON,,NG,9.760859625057156,11.950617283950615,0.6622668630207673,,0
563,463,WESTON   W12,W12,66059,WPS.WESTON12,miso,WESTON,,NG,9.877914951989023,11.57750342935528,0.6839105096879062,,0
564,464,WESTON   W13,W13,66059,WPS.WESTON13,miso,WESTON,,NG,9.760859625057156,11.950617283950615,0.6791890547687153,,0
565,465,WESTON   W14,W14,66059,WPS.WESTON14,miso,WESTON,,NG,9.760859625057156,11.950617283950615,0.6658204920897712,,0
566,466,WESTON   W15,W15,66059,WPS.WESTON15,miso,WESTON,,NG,9.77549154092364,11.935985368084133,0.6971045827824922,,0
567,467,WESTON   W16,W16,66059,WPS.WESTON16,miso,WESTON,,NG,9.77549154092364,11.935985368084133,0.6919859652261545,,0
568,468,WESTON   W17,W17,66059,WPS.WESTON17,miso,WESTON,,NG,9.77549154092364,11.935985368084133,0.6869752896107515,,0
569,469,WESTSIDE WEST_1,"WES1, WES2, WES3, WES5",60564,SMP.WES.RPU,miso,WESTSIDE,,NG,11.25697302240512,10.663008687700048,0.6523756834254648,,0
570,470,WHEATL00 CTG1,CTG1,55224,CIN.HEPM_2.AZ,miso,WHEATL00,,NG,19.026520347508004,5.329675354366714,0.3557690817055292,,0
571,471,WHEATL00 CTG2,CTG2,55224,CIN.HEPM_2.AZ,miso,WHEATL00,,NG,18.876543209876544,5.563786008230452,0.3710367780883716,,0
572,476,WHITNGCE ST,ST1,55259,NIPS.CC.WHITN,miso,WHITNGCE,,NG,2.327846364883402,-11.588477366255145,0.9728820922421874,,0
573,477,WMARINE0 WMARINE0_M34,34,7799,MGE.WMARIN034,miso,WMARINE0,,NG,16.88660265203475,2.8971193415637857,0.4390810681147299,,0
574,478,WMARINET WEMG331383,33,4076,WPS.WEM31,miso,WMARINET,,NG,14.680841335162324,11.837219935985368,0.3699833975115619,,0
