earliest_appearance,latest_appearance,latest_area,latest_zone,pmin_median,pmax_median,pmax_99_perc,pmax_max,eia_gen_id,epa_generator_id,fitting_param_x,fitting_param_intercept,energy_source_code,prime_mover_code,operating_year,retirement_month,retirement_year,planned_operation_month,planned_operation_year,category
ercot_rt_se_20211202_H10,ercot_rt_se_20230927_H24,ERC,SOUT,0.0,8.2,9.9,9.9,LOPE,LOPE,,,MWH,BA,2.0,,,,,hydro
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,SCEN,0.0,8.1,8.5,8.5,1,1,,,WAT,HY,84.0,,,,,hydro
ercot_rt_se_20160214_H01,ercot_rt_se_20240331_H24,ERC,SOUT,3.0,8.0,10.0,11.0,1,1,,,WAT,HY,70.0,,,,,hydro
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,SOUT,3.0,8.0,10.5,11.0,2,2,,,WAT,HY,70.0,,,,,hydro
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,SOUT,3.0,8.0,10.5,11.0,3,3,,,WAT,HY,70.0,,,,,hydro
ercot_rt_se_20230608_H01,ercot_rt_se_20240331_H24,ERC,FWES,0.0,7.5,7.5,7.5,TRBT1,TRBT1,,,MWH,BA,3.0,,,,,hydro
ercot_rt_se_20210301_H17,ercot_rt_se_20230607_H24,ERC,FWES,0.0,7.5,7.5,7.5,TRBT1,TRBT1,,,MWH,BA,3.0,,,,,hydro
ercot_rt_se_20230112_H01,ercot_rt_se_20240331_H24,ERC,FWES,0.0,7.4,7.4,7.4,TX7,TX7,,,MWH,BA,4.0,,,,,hydro
ercot_rt_se_20230216_H01,ercot_rt_se_20240331_H24,ERC,COAS,0.0,7.4,7.4,7.6,TX2,TX2,,,MWH,BA,4.0,,,,,hydro
ercot_rt_se_20191107_H14,ercot_rt_se_20230215_H24,ERC,COAS,0.0,7.4,9.9,9.9,TX2,TX2,,,MWH,BA,4.0,,,,,hydro
ercot_rt_se_20230112_H01,ercot_rt_se_20240331_H24,ERC,FWES,0.0,7.4,9.9,9.9,TX8,TX8,,,MWH,BA,4.0,,,,,hydro
ercot_rt_se_20231109_H01,ercot_rt_se_20240331_H24,ERC,COAS,0.0,3.6,4.7,4.7,MYRST,MYRST,,,MWH,BA,,,,7.0,2024.0,hydro
ercot_rt_se_20220218_H18,ercot_rt_se_20240331_H24,ERC,FWES,0.0,2.8,50.0,50.0,BA,BA,,,MWH,BA,1.0,,,,,hydro
ercot_rt_se_20170414_H20,ercot_rt_se_20240331_H24,ERC,FWES,0.0,2.0,2.0,2.0,ECBS,ECBS,,,MWH,BA,7.0,,,,,hydro
ercot_rt_se_20160212_H16,ercot_rt_se_20230614_H24,ERC,SCEN,0.0,1.0,1.0,1.0,ASTRO,ASTRO,,,MWH,BA,8.0,11.0,2022.0,,,hydro
ercot_rt_se_20230118_H18,ercot_rt_se_20240331_H24,ERC,WEST,0.0,0.2,15.1,15.1,PYRBT,PYRBT,,,MWH,BA,6.0,,,,,hydro
ercot_rt_se_20220518_H19,ercot_rt_se_20240331_H24,ERC,FWES,0.0,0.1,50.0,50.0,BA,BA,,,MWH,BA,1.0,,,,,hydro
ercot_rt_se_20231105_H20,ercot_rt_se_20240331_H24,ERC,EAST,0.0,0.0,9.9,9.9,PAULN,PAULN,,,MWH,BA,0.0,,,,,hydro
ercot_rt_se_20160101_H01,ercot_rt_se_20240304_H24,ERC,SCEN,0.0,0.0,0.0,0.0,2,2,,,WAT,HY,35.0,,,,,hydro
ercot_rt_se_20160101_H01,ercot_rt_se_20240304_H24,ERC,SCEN,0.0,0.0,0.0,0.0,1,1,,,WAT,HY,35.0,,,,,hydro
ercot_rt_se_20220804_H01,ercot_rt_se_20240331_H24,ERC,WEST,0.0,0.0,15.1,15.1,PYRBT,PYRBT,,,MWH,BA,6.0,,,,,hydro
ercot_rt_se_20231102_H01,ercot_rt_se_20240331_H24,ERC,FWES,0.0,0.0,9.9,9.9,JUDKS,JUDKS,,,MWH,BA,0.0,,,,,hydro
ercot_rt_se_20230202_H01,ercot_rt_se_20240331_H24,ERC,WEST,0.0,0.0,9.9,9.9,JUNCT,JUNCT,,,MWH,BA,1.0,,,,,hydro
